Filtering the log data using "process == "macos-dock-cc-v2" AND category == "fullscreen-green-probe""
Timestamp               Ty Process[PID:TID]
2026-08-09 00:08:02.719 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470265.723908 key-down keyCode=31 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:02.888 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470265.892695 key-down keyCode=2 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.004 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.008547 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.219 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.223413 key-down keyCode=45 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.219 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.223943 key-down keyCode=5 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.548 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.553153 key-down keyCode=11 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.632 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.637235 key-down keyCode=32 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:03.872 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470266.876904 key-down keyCode=8 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:04.052 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470267.056579 key-down keyCode=0 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:04.303 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470267.307808 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:04.548 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470267.553294 key-down keyCode=2 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:04.686 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470267.691131 key-down keyCode=0 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:04.786 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470267.790626 key-down keyCode=45 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.108 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.112852 key-down keyCode=37 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.227 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.232193 key-down keyCode=0 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.303 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.307545 key-down keyCode=45 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.544 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.548705 key-down keyCode=16 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.731 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.735628 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.849 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.853512 key-down keyCode=6 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:05.937 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470268.941493 key-down keyCode=4 flags=0x100 repeat=0 verdict=no-cache
